title,link,author,content
"Disparition de Bertrand Blier, réalisateur des « Valseuses » et « Tenue de soirée »",https://vsd.fr/75044-disparition-de-bertrand-blier-realisateur-des-valseuses-et-tenue-de-soiree/,Antoine Le Fur,"Le cinéma est en deuil. Ce mardi 21 janvier 2025, Léonard Blier, le fils de Bertrand Blier, a annoncé la mort de son père dans un communiqué diffusé par l’AFP, « paisiblement chez lui, à Paris, entouré de sa femme et de ses enfants ». Avec une filmographie impressionnante couvrant du début des années 60 à son dernier film, Convoi Exceptionnel, en 2019, Bertrand Blier était l’un des derniers mastodontes du cinéma encore en vie.     Il laisse derrière lui des longs-métrages cultes comme Les Valseuses (1974), Buffet Froid (1979) ou encore Tenue de soirée (1986). Scénariste hors pair, il avait beaucoup collaboré avec le comédien Michel Blanc, qu’il a dirigé dans Tenue de Soirée, Merci la vie et avec qui il a co-écrit le scénario de Grosse Fatigue en 1994. Une passion du cinéma chevillé au corps, qu’il tenait de son père, le cinéaste Bernard Blier.    Des comédiens fétiches    De son enfance sur les plateaux de cinéma, lui reste ce goût pour le perfectionnisme et la direction d’acteurs. Avec son second long-métrage comme réalisateur, Les Valseuses, il choque autant qu’il suscite l’engouement.     Amoureux de ses acteurs, fidèles dans le travail, le réalisateur s’entoure d’une équipe artistique solide, avec qui il travaille à plusieurs reprises : Gérard Depardieu, huit fois, Patrick Dewaere, trois fois mais aussi Anouk Grinberg, qui devient sa muse dans les années 1990. Dans une interview pour Studio Magazine accordée en janvier 2000, il déclarait à ce sujet : « Ce qui me touche chez les acteurs ? Peut-on dire ce qui nous touche dans l’oxygène ? ».    L'amoureux des arts    Avec lui, elle traverse les tempêtes des critiques, qui éreintent durant cette décennie de plus en plus ses longs-métrages, avant de les encenser à nouveau dans les années 2010 et le film Le Bruit des glaçons. Mais il n’y avait pas que le septième art qui faisait battre son coeur.     Fou de jazz et de musique classique, il a longtemps été considéré comme le plus musicien des réalisateurs français, mais il était aussi un grand lecteur et un écrivain respecté. De 1981 à 2022, il publie quatre romans et deux pièces de théâtre, qui seront portées sur les planches au Théâtre Antoine et au Théâtre de la Porte-Saint Martin. S’il a pu créer la polémique ces dernières années en défendant ardemment en 2023 son ami Gérard Depardieu, accusé à maintes reprises de viols et d’agressions sexuelles, Bertrand Blier laisse le cinéma orphelin de l’un de ses meilleurs cinéastes et valsera désormais au paradis, sans doute en « Tenue de soirée »."
"Jenifer et Lorie, rien ne va plus aux Enfoirés",https://vsd.fr/75016-jenifer-et-lorie-rien-ne-va-plus-aux-enfoires/,Antoine Le Fur,"Le coup d’envoi a été donné ce mardi 14 janvier. Pendant près d’une semaine, plus d’une cinquantaine d’artistes se produisent sur la scène de la Sud de France Arena près de Montpellier à l’occasion des traditionnels concerts des Enfoirés. Une édition marquée par plusieurs changements. Du côté des arrivées, le public a pu découvrir les premiers pas dans la troupe de six personnalités parmi lesquelles l’incontournable Pierre Garnier mais aussi Jain, François-Xavier Demaison ou encore Alain Chamfort. Concernant les retours, ce cru 2025 est marqué par le come-back de Mimie Mathy qui n’avait pas participé à l’édition 2024.     Une absence d’autant plus exceptionnelle puisque la star de Joséphine, ange gardien n’avait raté aucune édition des Enfoirés depuis son arrivée dans la troupe, en 1994. Enfin, du côté des départs, ces nouveaux concerts sont marqués par l’absence remarquée de Slimane. Dans l’œil du cyclone en raison des différentes accusations pour agression sexuelle, le chanteur aurait été tout simplement écarté, « pour ne pas faire de vagues », d’après les révélations de nos confrères du Parisien.    Deux figures incontournables des Enfoirés    Parmi ceux qui ont répondu présents, on trouve deux chanteuses, fidèles habituées des Enfoirés : Jenifer et Lorie. C’est en 2003 que la première gagnante de la Star Academy a rejoint la célèbre troupe. Depuis, elle a participé à presque toutes les éditions, à l’exception de celle de 2021.     Concernant l’interprète de Sur un air latino, c’est en 2002 qu’elle a fait ses premiers pas aux Enfoirés. Figure incontournable du show, elle n’a, tout comme Jenifer, loupé une seule édition. À savoir celle de 2021.    Une collision qui aurait pu être dramatique    Idoles de toute une génération, les deux chanteuses se sont notamment retrouvées sur un tableau lors de cette édition 2025. Des retrouvailles qui auraient pu tourner au drame. En effet, comme l’a partagé un compte fan de Lorie sur X, les deux artistes se sont violemment rentrées dedans sur scène, alors que Jenifer était suspendue dans les airs et peinait visiblement à contrôler sa trajectoire.     « #Enfoirés 2025 Quand Jenifer percute Lorie en plein show !! C’est une scène drôle et inattendue, à laquelle ont assisté les spectateurs des #enfoirés hier soir à la @SDFArena_Mtp de Montpellier », pouvait-on ainsi lire sur le réseau social. Malgré la frayeur des spectateurs, les deux artistes s’en sorties indemnes, sans blessures. Elles sont même reparties toutes les deux, affichant un sourire franc aux lèvres. Ouf !"
"« Il ne faut pas que je marche », Mimie Mathy explique pourquoi elle est en ""fauteuil roulant"" pour les concerts des Enfoirés",https://vsd.fr/75013-il-ne-faut-pas-que-je-marche-mimie-mathy-explique-pourquoi-elle-est-en-fauteuil-roulant-pour-les-concerts-des-enfoires/,Antoine Le Fur,"Elle en est l’une des figures tutélaires. Marraine des Enfoirés depuis 2008, Mimie Mathy a participé à quasiment toutes les éditions du célèbre concert caritatif depuis son arrivée dans la troupe, en 1994. Elle a seulement été absente l’an passé, en 2024. Une absence exceptionnelle pour celle qui, au fil des ans, est devenue LE visage de ce grand rassemblement festif et solidaire.    En 2025, la comédienne fait son grand retour, pour le plus grand bonheur de ses fans. Aux côtés des petits nouveaux, la star de Joséphine, ange gardien fait de nouveau le show pour les différents concerts qui se tiennent depuis ce mardi 14 janvier à la Sud de France Arena de Montpellier.    Mimie Mathy et son ""fauteuil roulant""    Des concerts auxquels ont pu assister nos confrères de Télé-Loisirs. Ce dimanche 19 janvier, ils ont notamment remarqué un détail de taille : Mimie Mathy se déplaçait sur scène avec un fauteuil roulant. Une sorte de petit scooter avec un guidon qui a fait son effet auprès de ses camarades.    Interrogée par Télé-Loisirs, l’actrice s’est expliquée à ce sujet : « Les scènes sont tellement grandes sur les Enfoirés que si on ne veut pas faire une heure de plus en spectacle, il ne faut pas que je marche. (…) Je me suis entraînée un peu avant de tuer quelqu’un. C’est vraiment génial ce truc ! ».    Mimie Mathy : ""J'essaye de me soulager et de ménager""    Mais qu’en est-il de son état de santé ? À ce sujet, la grande complice de Michèle Bernier et Isabelle de Botton se veut rassurante. « L’apparence dit que je ne suis pas au mieux de ma forme, j’ai une faiblesse dans les jambes qui s’est un peu accentuée donc entre les prises et dans la vie de tous les jours, j’essaye de me soulager et de me ménager », fait ainsi savoir Mimie Mathy.     Optimiste, cette dernière ne manque pas d’ailleurs pas de différents projets, comme elle le souligne : « J’ai fait trois inédits de Joséphine (ange gardien, ndlr), j’en prépare un pour le mois de juin, je suis en train d’écrire un nouveau spectacle. J’ai lu que j’étais paralysée à vie, que j’étais mourante, non ! ». La femme de Benoist Gérard dément les nombreuses rumeurs qui circulent à son sujet et assure qu’elle se porte à merveille : « C’est dû à ma configuration, j’ai des petits soucis techniques donc entre les moments importants, je me ménage. Mais tout va bien ! ». Plus de peur que de mal donc."
« Babygirl » avec Nicole Kidman : quels sont les 5 rôles les plus marquants de la star ?,https://vsd.fr/74985-babygirl-avec-nicole-kidman-quels-sont-les-5-roles-les-plus-marquants-de-la-star/,Antoine Le Fur,"Venise, août 2024. Nicole Kidman foule le tapis rouge pour présenter son nouveau film Babygirl, de la réalisatrice Halina Reijn. Un thriller érotique, mettant en scène la relation extra-conjugale d’une PDG de haut niveau à la vie familiale bien rangée et un stagiaire beaucoup plus jeune qu’elle, avec qui elle va s’adonner à des plaisirs sadomasochiste. Un mélange de 50 nuances de Grey et de Liaisons Fatales, qui lui vaut de décrocher la Coupe Volpi de la meilleure interprétation féminine à la Mostra.     Il faut dire que l’actrice de 57 ans y est très particulièrement convaincante, rappelant sa prestation vingt-six ans plus tôt dans Eyes Wide Shut de Stanley Kubrick avec son mari de l’époque, Tom Cruise. Un rôle et un tournages difficiles, alors qu’elle traversait des tempêtes dans sa vie privée, et qui l’avaient fait repartir bredouille de toute distinction. Séparée du héros de Mission Impossible, la comédienne s’était heureusement rattrapée quelques années plus tard avec le film musical Moulin Rouge de Baz Luhrmann, pour lequel elle a reçu le Golden Globes de la meilleure actrice et une nomination aux Oscars, en 2002.    La longue route du succès    Une précieuse statuette que Nicole Kidman décroche un an plus tard pour le long-métrage The Hours, dans lequel elle incarne la romancière Virginia Woolf aux côtés de Meryl Streep et Julianne Moore. Ce rôle reste sans doute le plus important de sa carrière, puisqu’il lui a valu également un BAFTA et un Ours d’argent à Berlin.     Déjà habituée aux récompenses dès 1996 avec le film Prête à tout de Gus Van Sant, l’actrice enchaîne les prestations marquantes, jusqu’à sa petite traversée du désert dan la seconde partie des années 2000.     Un rôle inoubliable à la télévision    Si Baz Luhrmann lui propose l’épique Australia et qu’elle tourne dans Nine de Rob Marshall, il faut attendre les années 2010 pour percevoir à nouveau l’étendu du talent de la célèbre rousse de Hollywood. Et elle n’abreuve pas seulement le cinéma de ses performances.    En 2017, Nicole Kidman marque les esprits dans la série Big Little Lies réalisée par feu Jean-Marc Vallée, et pour lequel elle remporte le sixième Golden Globes de sa carrière. Icône du petit et du grand écran, la star n’a sans doute pas fini de surprendre son public."
"Elodie Frégé et Benjamin Biolay, retour sur leur collaboration",https://vsd.fr/74982-elodie-frege-et-benjamin-biolay-retour-sur-leur-collaboration/,Antoine Le Fur,"Voilà six saisons déjà que Faustine Bollaert tire les larmes de ses invités et des téléspectateurs avec son émission La Boîte à secrets sur France 3. Une immersion dans les émotions et les souvenirs des personnalités à travers des invités secrets et des chansons symboliques. Ce vendredi 17 janvier, c’est au tour de Stéphane Bern, David Douillet et Élodie Frégé de prendre place devant leur boîte à secrets.     Ce n’est pas la première fois que la gagnante de la Star Academy 3 participe à l’émission, puisqu’elle avait rendu hommage à Christophe en interprétant Les Mots Bleus pour l’émission consacrée à Pascal Obispo. Mais cette fois, c’est à la chanteuse de passer de l’autre côté pour livrer ses souvenirs. Une carrière qui a débuté à la sortie du château de Dammarie-Les-Lys en 2003 par l’album intitulé sobrement Élodie Frégé. Si des tubes comme De l’eau ou Viens jusqu’à moi en duo avec Michal ont eu leur petite notoriété, elle s’est fait un nom dans la musique plus élitiste dès son second opus grâce à … Benjamin Biolay.    Une collaboration fructueuse    Un auteur-compositeur et chanteur que la jeune femme a rencontré en mai 2005 au concert de Florent Marchet.     Pourtant, comme le confiait à l’époque l’interprète de La Superbe au magazine Télé Obs, le choix de composer pour une gagnante d’un télé-crochet a été vivement critiqué par son entourage : « Quand j'ai réalisé l'album d'Élodie Frégé, qui sortait de la Star Academy, tout le monde m'est tombé dessus. (...) C'est bien de ne pas vivre dans une bulle d'artiste indépendant. Je suis un peu la gauche du programme… ».    Une relation de muse et pygmalion    Heureusement, le chanteur est passé au-delà des préjugés et lui a concocté l’album Le Jeu des 7 erreurs avec des tubes largement plébiscités comme La Ceinture. Par la suite, la chanteuse — devenue également comédienne entre temps — se démarque par ses propres talents d’auteure- compositrice et se passe de ses services pour ses deux derniers albums.     Néanmoins, le duo — qui aurait également vécu une histoire d’amour au moment de la sortie de l’album, selon les rumeurs — se retrouve régulièrement sur des plateaux télé comme le Benjamin Biolay Christmas Show en 2022, où ils avaient chanté ensemble Santa Baby… pour notre plus grand plaisir."
17 ans de la disparition de Carlos : ce lien très particulier du chanteur avec Sylvie Vartan,https://vsd.fr/74979-17-ans-de-la-disparition-de-carlos-ce-lien-tres-particulier-du-chanteur-avec-sylvie-vartan/,Antoine Le Fur,"Le 17 janvier 2008, Carlos disparaissait brutalement à l’âge de soixante-quatre ans, des suites d’un cancer du foie. Une perte pour de nombreuses personnes à commencer par l’une des plus grandes stars de la chanson française, Sylvie Vartan.     Celle qui s’apprête à faire ses adieux à la scène avec trois ultimes concerts sur la scène du Palais des Congrès à Paris a en effet bien connu l’interprète de Big Bisou. C’est au début des années 1960, plus précisément en 1962, que leurs chemins se croisent. À cette époque, la carrière de la chanteuse n’en est qu’à ses debuts. Carlos, de son vrai nom Jean-Chrysostome Dolto, devient alors son directeur artistique et le restera pendant dix ans.    Une amitié indéfectible    Tous deux vont rester amis et seront présents l’un pour l’autre aux grandes étapes de la vie. En 1965, Carlos sera ainsi le témoin de mariage de l’interprète de La Maritza avec Johnny Hallyday. L’année suivante, lorsque naît le fils du couple, David, le fils de Françoise Dolto en devient le parrain.     En 1978, Carlos épouse sa compagne Michelle Toussaint, dite « Mimi ». Comme une évidence, Sylvie Vartan et Johnny Hallyday seront les témoins ce jour unique pour le couple.    Sylvie Vartan : ""Carlos cachait une nature sensible et sentimentale""    En 2020, au micro de RTL, celle qui sera bientôt à l’écran dans le film Ma Mère, Dieu et Sylvie Vartan du réalisateur canadien Ken Scott se confiait sur le lien unique qu’elle avait avec Carlos : « Carlos, c’est vraiment ma famille et il me manque vraiment beaucoup. (…) Il était vraiment formidable Carlos. Il a été indispensable à ma vie ».     Le 25 septembre 2024, la chanteuse rendait hommage à son ami en publiant une vidéo sur son compte Instagram où on pouvait la voir chanter le titre La Tendresse de Bourvil en sa compagnie. En légende de cette publication, la star ne faisait pas mystère de son émotion.     « Derrière l’humour, Carlos cachait une nature sensible et sentimentale. C’était un grand romantique et il manque toujours beaucoup. (…) J’ai passé 10 ans de ma vie dans la joie avec lui et je le porte à jamais dans mon cœur », notait ainsi la femme de Tony Scotti, qui s’est récemment confiée sur son mariage avec ce dernier.    En 2008, dans les colonnes de Gala, la femme de Carlos, Mimi, revenait sur la maladie de son mari, qu’il avait décidé de cacher : « Il vivait un martyre mais le cachait à tout le monde, sauf à ses intimes. Il pensait qu’il s’en sortirait ou, du moins, qu’il tiendrait encore un bon moment ». Avec la disparition de Carlos, la musique perdait l’un de ses plus joyeux ambassadeurs."
"« Tout n’est pas réglé », Pascal Obispo se livre en toute franchise sur ses soucis de santé",https://vsd.fr/74976-tout-nest-pas-regle-pascal-obispo-se-livre-en-toute-franchise-sur-ses-soucis-de-sante/,Antoine Le Fur,"Ce 8 janvier 2025, Pascal Obispo a eu soixante ans. À cette occasion, le chanteur a marqué le coup, en faisant un grand concert événement sur la scène de l’Accor Arena de Bercy, à Paris, ce samedi 11 janvier.     Au cours de ce show, il a notamment été rejoint par plusieurs artistes avec qui il est ami, à l’image de Zazie, David Hallyday ou encore Axel Bauer. Un concert d’autant plus important qu’il marquait le retour de Lucie après plusieurs mois d’absence. En effet, la fin de l’année 2024 s’est révélée assez compliquée pour Pascal Obipo en raison de ses soucis de santé.    Pascal Obispo : ""J'ai besoin de lever le pied""    L’été dernier, le chanteur a même dû être hospitalisé en urgence. Il a en effet été victime de coliques néphrétiques, dues à un caillot de sang. Suite à ces complications, le chanteur avait dû renoncer à se produire sur scène, comme il l’avait fait savoir à nos confrères du Parisien. Au cours de son opération, le chirurgien avait découvert un polype dans la vessie, qu’il avait ensuite enlevé afin d’éviter toutes complications. Depuis, Pascal Obispo se sent fatigué.     Interrogé par nos confrères de Gala, présents lors de son concert à l’Accor Arena de Bercy, l’artiste n’a rien caché de son état actuel. «&nbsp;Oui j’ai besoin de lever le pied et je le ferai à l’issue de cette année 2025. (…) Je commence à avoir des problèmes physiques suite à mes pépins de santé de cet été. Tout n’est pas réglé, il y a quelques complications et j’ai un peu de mal à marcher&nbsp;», a révélé l’ex-époux d’Isabelle Funaro, en toute franchise.    Une nouvelle passion    Pour la star, faire une pause s’impose avant que la situation n’empire, comme il le souligne : « Si la tête est là, le corps ne suit plus autant que je le voudrais. Alors j’ai décidé de calmer un peu le jeu, de faire un break ». Pascal Obispo va donc lever le pied dans les prochains mois et il compte bien s’adonner à un nouveau loisir : la peinture. « La musique comme la peinture sont à mes yeux de l’art-thérapie », déclare ainsi l’artiste. Une petite pause bien méritée pour le chanteur qui ne compte toutefois pas prendre sa retraite. Toujours pour Gala, ce dernier a notamment fait savoir qu’il sortirait un double disque en octobre 2025 avec de nombreux duos. Ses fans sont rassurés !"
"« Il ne faut pas crier victoire trop vite », Florent Pagny donne de ses nouvelles après ses derniers contrôles",https://vsd.fr/74972-il-ne-faut-pas-crier-victoire-trop-vite-florent-pagny-donne-de-ses-nouvelles-apres-ses-derniers-controles/,Antoine Le Fur,"Un retour en grande pompe. Le samedi 1er février, Florent Pagny va de nouveau revêtir son habit de juré dans The Voice. Pour cette nouvelle saison, le chanteur sera accompagné de Vianney ainsi que de deux chanteuses, nouvelles recrues du programme&nbsp;: Zaz et Patricia Kaas. À cette occasion, l’interprète de Chanter a accordé une interview à nos confrères de Télé-Loisirs, au cours de laquelle il a donné des nouvelles de sa santé.     Depuis maintenant trois ans, l’artiste se bat contre un cancer du poumon. En août 2024, Florent Pagny avait déjà donné des nouvelles à ses fans sur son compte Instagram. «&nbsp;Tout va bien, depuis un an j’ai fait quatre contrôles qui sont bons, qui sont tables. Mais après avoir vécu deux récidives, on sait qu’il ne faut pas crier victoire trop vite. Pendant quelques années, j’aurai ces contrôles, mais pour l’instant&nbsp;: c’est bon&nbsp;», avait déclaré le papa d’Ael.    Florent Pagny : ""J'aime faire tout et son contraire""    Alors que le retour de The Voice, Florent Pagny a tenu à rassurer ses fans. Interrogé par nos confrères de Télé-Loisirs, l’artiste l’assure, il va bien. «&nbsp;Là, tout va bien. Tous les trois mois, un doute peut arriver, car j’ai des examens médicaux. On croise les doigts, ça va bien se passer&nbsp;», a fait savoir, plein d’optimisme, le mari d’Azucena. Au cours de cet entretien, l’interprète de Savoir aimer confie également avoir songé à tout arrêter à un moment.     Mais la passion de la musique a été plus forte et il a finalement décidé de continuer. «&nbsp;Eh oui, mais moi j’aime faire tout et son contraire. Il n’y a que les imbéciles qui ne changent pas d’avis. Mes potes de The Voice m’ont appelé, et ce n’était pas si con de leur part. Et, l’année suivante, je ferai comme prévu ma tournée des 65 ans, parce que celle des 60 ans, bon bah, elle a capoté&nbsp;», a ainsi ironisé l’artiste, aujourd’hui âgé de soixante-trois ans.    Une tournée et un nouvel album    Outre cette tournée, Florent Pagny a également un autre projet important puisqu’il compte sortir un nouvel album en 2026. Bien occupé, il ne pourra donc pas assurer le rôle de juré dans The Voice. C’est donc pour cette raison qu’il a accepté de participer à cette nouvelle édition, qui va bientôt commencer sur TF1.« Finalement, c’est mieux ainsi parce qu’avec un nouvel album et une tournée prévus en 2026, j’aurais moins le temps », a déclaré le chanteur. Des annonces qui vont, assurément, ravir ses très nombreux fans."
Le rappeur Koba LaD condamné à quinze mois de prison pour violences sur son manageur,https://vsd.fr/74891-le-rappeur-koba-lad-condamne-a-quinze-mois-de-prison-pour-violences-sur-son-manageur/,Corinne Picard,"Le rappeur Koba LaD, figure emblématique du rap français, a vu son aura ternie par une lourde condamnation. Ce lundi 13 janvier, le tribunal judiciaire de Melun l'a condamné à 15 mois de prison ferme pour violences avec incapacité totale de travail (ITT) de plus de huit jours à l’encontre de son manager historique, Deuspi. En revanche, il a été relaxé des accusations de vol et de séquestration. Le musicien aux trois albums certifiés platine a écouté le tribunal rendre sa décision par visioconférence, depuis la maison d’arrêt de Fleury-Mérogis .    Vendetta    Dans un geste rare, les juges ont prononcé une peine plus sévère que celle requise par le parquet, qui avait initialement demandé un an de prison ferme lors des audiences de novembre dernier. « Rien ne justifie l'extrême violence que mon client a subi, et nous sommes satisfaits que la justice ait pu être rendue, a déclaré l'avocat de Deuspi. Ce n'est pas parce qu'on est une personnalité médiatisée que l'on peut agir en toute impunité. » Les faits remontent à avril 2022, dans ce qui ressemble à une vendetta personnelle. Lors de l'audience de novembre, Marvin I., connu sous le pseudonyme Deuspi, a relaté avec précision la nuit d'horreur. Après un showcase dans une boîte de nuit, il aurait été conduit de force, au petit matin, par des membres de l'entourage de Koba LaD dans un entrepôt désaffecté situé dans l'Essonne. Sur place, il a été violemment passé à tabac jusqu'à perdre connaissance.    Compagne et frère séquestrés    À son réveil, il se trouvait devant le domicile de sa compagne, Sarah B., dans la commune de Vert-Saint-Denis, en compagnie d'un groupe de « six à sept » personnes. À l'intérieur, sa compagne et son jeune frère étaient séquestrés, piégés au cœur de ce qui s'apparente à une expédition punitive.    Le différend aurait éclaté suite à des soupçons de vol d'argent par Deuspi, ce que Koba LaD lui reprochait vivement. Une plainte pour un préjudice valorisant à un million d'euros est encore en cours d'instruction, avait rappelé l'un des avocats de la défense lors du procès.    Chat égorgé    L'ancienne compagne de Deuspi, Sarah, a joué un rôle décisif en dénonçant ces violences, malgré les intimidations qu'elle affirme avoir subies lors de l’audience en novembre dernier. « Tout le monde avait peur. C’était comme dans les films. On est parti chez les parents de Monsieur E. (Deuspi, NDLR) et, quand on devait sortir pour les soins, le père vérifiait qu’on ne nous attendait pas.&nbsp; (...) Après, on m’a posé un chat égorgé sur ma place de parking. J’ai été suivie en voiture, des personnes me disaient de retirer ma plainte. »     Si les trois coprévenus de l'artiste ont été relaxés, cette condamnation marque un tournant dans la carrière du jeune rappeur de 24 ans. Ce dernier, propulsé au sommet des charts français, voit désormais son image attachée par cette affaire de violence."
Le pape François révèle sa surprenante relation avec une prostituée « de luxe » surnommée « la Porota »,https://vsd.fr/74907-le-pape-francois-revele-sa-surprenante-relation-avec-une-prostituee-de-luxe-surnommee-la-porota/,Corinne Picard,"Le pape François, de son vrai nom Jorge Bergoglio, publie une autobiographie inédite intitulée Espère, où il se dévoile de manière plus personnelle que jamais. Contrairement à ses précédents ouvrages ou interviews, il livre un récit complet de sa vie, une première pour un pape.Initialement prévu pour être publié après sa mort, ce livre paraît à l’occasion du «Jubilé de l’espérance», un événement spirituel majeur de 2025, décrypté dans l’édition du magazine VSD du 30 janvier. À travers des anecdotes touchantes ou tragiques, souvent empreintes d’humour, François partage des leçons d’espérance adaptées à notre époque.    «Enfant espiègle»    A 88 ans, François revient sur des épisodes de son enfance dans un quartier multiculturel de Buenos Aires, y compris des actions qu'il regrette. «Je me souviens de mes péchés et j'en ai honte. (...) Je suis un pécheur», avoue le chef de l'Eglise catholique. Il se décrit comme un «enfant espiègle» et évoque avec nostalgie les membres de sa famille. Comme le relate notre confrère Maris-Match, à la lecture, on réalise combien certaines rencontres ont influencé la manière de gouverner du pape François. Qu'il s'agisse d'une femme de ménage, de ses camarades d'école, de ses premiers amours ou des victimes de la dictature argentine, ses décisions et prises de position trouvent souvent leur origine dans son passé.    Démission surprise de Benoît XVI    Il revient évidemment sur le conclave ayant abouti à son élection en 2013 dans la foulée de la démission surprise de Benoît XVI. «Je n'avais jamais imaginé que le résultat de ce conclave pourrait me concerner directement, donc figurez-vous si j'avais pensé à un nom de pape», confie-t-il. Et de se remémorer: «A Saint-Pierre ces jours-là un SDF se promenait avec une pancarte autour du cou où était écrit “Pape François Ier”. Cette image me reviendrait à l'esprit seulement après coup, quand plusieurs journaux publièrent la photo».    Pape moderne    Issu d'un milieu populaire et modeste, il est le premier pape moderne à venir d'une famille modeste d'émigrés italiens. Il raconte ainsi le voyage de ses grand-parents italiens émigrant en Argentine en 1929 à bord d'un bateau en 3e classe, avec sa grand-mère qui avait caché ses biens dans la doublure de son manteau. «Il n'y a rien de nouveau dans cela, c'est une histoire d'hier comme d'aujourd'hui», observe-t-il.    Pas de télévision depuis 1990    D'anecdotes en anecdotes, François révèle ne pas avoir regardé la télévision depuis 1990 suite à un voeu qu'il avait après avoir vu par accident «des images sordides» l'ayant profondément «offensé». Il avoue «de rares exceptions» à ce voeu, notamment lors des attentats du 11 septembre 2001 aux Etats-Unis. Du coup, il n'a pas vu un match de son équipe de foot favorite San Lorenzo «depuis trente ans», mais «un garde suisse laisse les résultats» de leurs matches sur son bureau.    Isolement    Depuis son élection, qui s'est traduite par un isolement lié au pouvoir, «sortir pour manger une pizza est l'une des petites choses qui me manquent le plus», dit-il. «Une pizza mangée sur une table dehors a un goût très différent d'une pizza livrée à domicile: je suis un citoyen dans l'âme.»    Enfin, dans un registre plus intime, Paris Match révèle une anecdote étonnante des mémoires du pape François, où il évoque sa relation surprenante avec une prostituée « de luxe» surnommée « la Porota ». Originaire de son quartier d’enfance, cette femme l’a recontacté lorsqu’il était cardinal. Connue pour ses jurons incessants, elle avait exprimé à François son désir de renouer avec la religion. Un jour, elle l’a même appelé pour confesser un groupe d’amies, elles aussi anciennes prostituées. Le pape décrit cette cérémonie comme l’une des plus belles de sa vie. Peu de temps après, elle l’a recontacté pour recevoir les derniers sacrements.    Attachement sincère    François confie dans ses écrits une profonde affection pour cette femme et dit prier pour elle chaque année à l’anniversaire de sa mort. Ce témoignage illustre l’attachement sincère du pape à son pays natal, l’Argentine, et à son peuple, qu’il décrit comme une source constante d’inspiration spirituelle et morale. Il reconnaît que son enracinement argentin a été déterminant dans sa préparation à sa mission universelle.Dans cet ouvrage écrit en collaboration avec le journaliste italien Carlo Musso et présenté par son éditeur français Albin Michel comme «la première autobiographie jamais publiée par un pape de son vivant», le pape revient aussi sur les difficultés de son pontificat."
